No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
5625,2013,10,21,8,45.0,82.0,6.0,54.0,900.0,1.0,11.9,1015.2,3.4,0.0,WSW,0.8,Changping
18136,2015,3,26,15,,,20.0,,800.0,,20.8,1016.6,-3.7,0.0,SSE,3.2,Changping
32979,2016,12,4,2,164.0,164.0,6.0,87.0,2700.0,2.0,-1.2,1008.3,-5.4,0.0,NNW,1.7,Dingling
13445,2014,9,12,4,97.0,97.0,3.0,60.0,900.0,32.0,18.4,1008.9,18.4,0.1,W,0.9,Guanyuan
1650,2013,5,8,17,119.0,108.0,38.0,46.0,1100.0,117.0,21.3,1006.7,14.5,0.0,SW,2.2,Guanyuan
8581,2014,2,21,12,221.0,263.0,111.0,92.0,2600.0,10.0,2.3,1023.4,-3.8,0.0,ENE,2.0,Nongzhanguan
24438,2015,12,14,5,319.0,319.0,10.0,88.0,5900.0,6.0,-0.3,1020.4,-1.0,0.3,N,0.7,Shunyi
20100,2015,6,16,11,160.0,169.0,28.0,65.0,1600.0,156.0,28.7,1000.4,17.2,0.0,ENE,1.3,Aotizhongxin
26214,2016,2,26,5,5.0,15.0,3.0,17.0,300.0,59.0,-0.7,1026.0,-20.4,0.0,WNW,0.8,Aotizhongxin
33678,2017,1,2,5,227.0,227.0,8.0,99.0,4200.0,6.0,-3.8,1021.0,-7.2,0.0,N,1.4,Nongzhanguan
26558,2016,3,11,13,10.0,11.0,2.0,7.0,400.0,69.0,6.1,1014.0,-19.5,0.0,ESE,2.7,Huairou
17146,2015,2,13,9,101.0,111.0,45.0,88.0,2700.0,4.0,-1.0,1013.0,-8.5,0.0,NE,1.4,Guanyuan
29213,2016,6,30,4,18.0,18.0,2.0,12.0,300.0,29.0,19.7,995.5,18.7,0.0,NE,1.2,Huairou
871,2013,4,6,6,10.0,15.0,4.0,32.0,400.0,26.0,3.4,1016.9,-5.3,0.0,ESE,0.5,Tiantan
19859,2015,6,6,10,9.0,9.0,2.0,21.0,4000.0,79.0,26.2,997.9,8.7,0.0,NE,2.8,Guanyuan
12862,2014,8,18,21,78.0,91.0,3.0,29.0,900.0,128.0,25.9,1006.0,17.8,0.0,SW,1.6,Guanyuan
33320,2016,12,18,7,242.0,246.0,6.0,85.0,6200.0,2.0,-4.2,1015.3,-7.8,0.0,N,2.1,Changping
15417,2014,12,3,8,3.0,19.0,5.0,2.0,200.0,52.0,-5.1,1016.0,-25.8,0.0,NW,2.2,Dingling
21906,2015,8,30,17,27.0,35.0,2.0,32.0,1200.0,82.0,21.1,1007.3,17.7,0.0,SW,0.9,Aotizhongxin
2824,2013,6,26,15,182.0,117.0,4.0,47.0,1399.0,274.0,30.8,989.1,22.7,0.0,SW,3.7,Guanyuan
10364,2014,5,6,19,103.0,182.0,39.0,51.0,1200.0,121.0,18.4,1000.3,7.2,0.0,SSE,1.0,Nongzhanguan
27312,2016,4,11,23,103.0,103.0,11.0,23.0,600.0,59.0,9.6,1004.0,-2.1,0.0,W,1.8,Huairou
11288,2014,6,14,7,33.0,39.0,3.0,50.0,600.0,42.0,24.1,999.8,16.4,0.0,ENE,1.2,Changping
29911,2016,7,29,6,65.0,70.0,2.0,74.0,900.0,16.0,25.2,994.8,22.5,0.0,SSE,0.5,Changping
3489,2013,7,24,8,46.0,101.0,3.0,59.0,800.0,26.0,31.2,993.6,21.4,0.0,ENE,0.4,Gucheng
24222,2015,12,5,5,17.0,17.0,13.0,52.0,900.0,11.0,-2.6,1022.7,-8.5,0.0,NE,0.7,Dongsi
26717,2016,3,18,4,389.0,389.0,30.0,143.0,2000.0,3.0,5.7,1005.7,2.0,0.0,SE,0.7,Dongsi
8657,2014,2,24,16,279.0,290.0,110.0,81.0,3400.0,53.0,6.8,1021.6,-2.4,0.0,SSE,1.0,Shunyi
2664,2013,6,19,23,70.0,125.0,20.2776,128.1072,1600.0,65.0,25.3,998.0,19.9,0.0,N,0.0,Wanliu
32856,2016,11,28,23,55.0,73.0,9.0,63.0,1300.0,2.0,-1.2,1024.5,-8.6,0.0,WSW,0.7,Dingling
5487,2013,10,15,14,3.0,9.0,2.0,12.0,300.0,71.0,18.5,1018.0,-7.8,0.0,WSW,1.8,Changping
4098,2013,8,18,17,13.0,16.0,3.0,15.0,500.0,122.0,32.3,1002.9,14.9,0.0,SSE,1.9,Tiantan
1761,2013,5,13,8,122.0,189.0,79.0,91.0,1899.0,34.0,21.5,1000.1,2.2,0.0,NNW,2.1,Dongsi
18115,2015,3,25,18,89.0,164.0,21.0,40.0,1100.0,132.0,16.9,1024.5,-1.3,0.0,SSW,4.4,Aotizhongxin
29623,2016,7,17,6,53.0,53.0,2.0,71.0,900.0,2.0,22.5,1002.7,17.6,0.0,NE,1.2,Aotizhongxin
26897,2016,3,25,16,12.0,20.0,2.0,8.0,300.0,105.0,14.1,1021.5,-12.2,0.0,S,1.3,Wanshouxigong
19178,2015,5,9,1,77.0,83.0,8.0,34.0,1300.0,55.0,15.0,1008.7,8.5,0.0,S,1.8,Gucheng
12507,2014,8,4,2,41.0,60.0,2.0,19.0,800.0,71.0,27.1,993.8,25.3,0.0,ENE,0.4,Gucheng
7607,2014,1,11,22,60.0,68.0,25.0,51.0,1200.0,37.0,2.4,1024.3,-19.6,0.0,N,1.8,Gucheng
15431,2014,12,3,22,8.0,46.0,4.0,18.0,200.0,59.0,-2.8,1015.0,-24.5,0.0,WNW,4.0,Changping
3338,2013,7,18,1,71.0,135.0,15.708,52.3515,1000.0,68.0,25.9,999.1,22.2,0.0,SE,1.9,Wanliu
29161,2016,6,28,0,58.0,58.0,2.0,44.0,700.0,85.0,21.5,1001.0,17.9,0.0,NNE,1.6,Tiantan
9745,2014,4,11,0,72.0,356.0,17.0,78.0,1300.0,22.0,14.5,1012.7,1.7,0.0,S,0.9,Gucheng
12374,2014,7,29,13,107.0,107.0,2.0,11.0,700.0,192.0,34.1,999.1,18.6,0.0,SW,3.8,Shunyi
13870,2014,9,29,21,17.0,150.0,4.0,48.0,400.0,22.0,16.2,1021.1,5.8,0.0,S,1.8,Wanliu
1939,2013,5,20,18,46.0,247.0,18.0,41.0,400.0,157.0,24.8,988.6,1.0,0.0,SSW,2.4,Huairou
5271,2013,10,6,14,166.0,97.0,16.0,67.0,2400.0,35.0,20.6,1015.9,15.2,0.0,ESE,0.9,Guanyuan
