feature,importance
pm25_lag_1,0.9693042681583917
pm25_diff_1,0.020526339746587473
PM10,0.008755165013282436
pm25_diff_24,0.00028371003352064834
pm25_lag_3,8.59916373516594e-05
pm25_lag_2,7.491328780146873e-05
CO,5.8659089880433366e-05
pm25_roll_mean_24,5.186242543954941e-05
pm25_lag_6,4.3722165279102984e-05
pm25_lag_48,4.323301150442983e-05
NO2,4.305918924188912e-05
pm25_roll_std_6,3.0176408794990192e-05
WSPM,2.9672304768094662e-05
pm25_roll_std_12,2.911204753972014e-05
wind_roll_mean_24,2.719852113909403e-05
temp_roll_mean_168,2.654326536980609e-05
wind_roll_mean_72,2.5129792556610516e-05
SO2,2.508645018442745e-05
wind_roll_mean_12,2.503622222573688e-05
pm25_roll_std_72,2.372144103589026e-05
O3,2.2943326687973484e-05
pm25_roll_mean_12,2.2086298968216586e-05
wind_diff_1,2.070002804191866e-05
pm25_roll_mean_6,2.0684303298170535e-05
wind_roll_mean_6,2.0366809826001117e-05
pm25_lag_168,1.9298623357688815e-05
pm25_roll_std_24,1.888044951648793e-05
pm25_lag_24,1.8273381835726665e-05
pm25_roll_mean_168,1.8197838499069418e-05
hour,1.808724048551962e-05
wind_roll_mean_168,1.80190137848295e-05
temp_diff_1,1.785465618304309e-05
hour_cos,1.7578100122664113e-05
PRES,1.7346346865211537e-05
pm25_lag_72,1.7240050433241426e-05
temp_roll_mean_6,1.6745660205778976e-05
temp_roll_mean_24,1.543804078521709e-05
pm25_lag_12,1.5188396472768811e-05
pm25_roll_mean_72,1.49499800529175e-05
day,1.4441841425718898e-05
TEMP,1.3311062746967461e-05
DEWP,1.2788497240517861e-05
pm25_roll_std_168,1.2583501753150714e-05
temp_roll_mean_72,1.1457204339912758e-05
temp_roll_mean_12,9.901033344530415e-06
hour_sin,8.726648188390954e-06
weekofyear,8.51257495892253e-06
dow_cos,8.25556513510845e-06
dayofweek,7.762918191180673e-06
RAIN,6.292894959636813e-06
dow_sin,5.391092473953968e-06
month_sin,5.362813180850969e-06
year,4.485085890741076e-06
month,4.054944007699045e-06
month_cos,3.2985941836792482e-06
is_weekend,8.949706614944672e-07
